name,categ_id
ACUARIO,Hotel
ACUAZUL,Hotel
ALLEGRO CLUB CAYO GUILLERMO,Hotel
ALLEGRO VARADERO,Hotel
AMBOS MUNDOS,Hotel
AMERICA,Hotel
APARTHOTEL ATLANTICO,Hotel
APARTHOTEL COSTAZUL,Hotel
APARTHOTEL LAS TERRAZAS,Hotel
ARENAL,Hotel
ARMADORES DE SANTANDER,Hotel
ATLANTICO,Hotel
BALCON DE LA SIERRA,Hotel
BALCON DEL CARIBE,Hotel
BARCELO ARENAS BLANCAS,Hotel
BARCELO SOLYMAR,Hotel
BARCELONA,Hotel
BATEY DON PEDRO,Hotel
BELLA HABANA AEROPUERTO,Hotel
BELLO CARIBE,Hotel
BELTRAN DE SANTA CRUZ,Hotel
BLAU COSTA VERDE,Hotel
BLAU COSTA VERDE PLUS,Hotel
BLAU MARINA VARADERO,Hotel
BLAU PRIVILEGE CAYO LIBERTAD,Hotel
BLAU VARADERO,Hotel
BLUEBAY CAYO COCO,Hotel
BREEZES BELLA COSTA,Hotel
BREEZES JIBACOA,Hotel
BREEZES VARADERO,Hotel
BRISAS COVARRUBIAS,Hotel
BRISAS DEL CARIBE,Hotel
BRISAS GUARDALAVACA,Hotel
BRISAS SANTA LUCIA,Hotel
BRISAS SIERRA MAR - LOS GALEONES,Hotel
BRISAS TRINIDAD DEL MAR,Hotel
BRUZON,Hotel
CADILLAC,Hotel
CAIMANERA,Hotel
CAMAGUEY,Hotel
CAMINO DE HIERRO,Hotel
CANIMAO,Hotel
CAPRI,Hotel
CARIBBEAN,Hotel
CASA GRANDA,Hotel
CASA VERDE,Hotel
CAYO LEVISA,Hotel
CHATEAU MIRAMAR,Hotel
CIB EL COLONY,Hotel
CIEGO DE AVILA,Hotel
CLUB AMIGO AGUAS AZULES,Hotel
CLUB AMIGO ANCON,Hotel
CLUB AMIGO ATLANTICO-GUARDALAVACA,Hotel
CLUB AMIGO CARACOL,Hotel
CLUB AMIGO CARISOL-LOS CORALES,Hotel
CLUB AMIGO COSTA SUR,Hotel
CLUB AMIGO MAREA DEL PORTILLO,Hotel
CLUB AMIGO MAYANABO,Hotel
CLUB KAREY,Hotel
CLUB TROPICAL,Hotel
COLINA,Hotel
COLON,Hotel
COLONIAL CAYO COCO,Hotel
COMENDADOR,Hotel
HOTEL COMODORO,Hotel
CONDE DE VILLANUEVA,Hotel
COPACABANA,Hotel
COSTA MORENA,Hotel
DEAUVILLE,Hotel
DON LINO,Hotel
DOS MARES,Hotel
EL BOSQUE,Hotel
VILLA EL BOSQUE,Hotel
EL CASTILLO,Hotel
ELGUEA,Hotel
EUROSTARS CAYO SANTA MARIA,Hotel
FARO LUNA,Hotel
FINCA MA. DOLORES,Hotel
FLORIDA,Hotel
FLORIDA CAMAGUEY,Hotel
GRAN CLUB SANTA LUCIA,Hotel
GRAN HOTEL,Hotel
GUACANAYABO,Hotel
GUANTANAMO,Hotel
H10 HABANA PANORAMA,Hotel
HABANA 612,Hotel
HABANA RIVIERA,Hotel
HACIENDA EL CANEY,Hotel
HANABANILLA,Hotel
HERRADURA,Hotel
HOSTAL 1511,Hotel
HOSTAL DEL RIJO,Hotel
HOSTAL VALENCIA,Hotel
HOTEL NACIONAL DE CUBA,Hotel
HUSA CAYO SANTA MARIA,Hotel
IBEROSTAR CAYO COCO,Hotel
IBEROSTAR DAIQUIRI,Hotel
IBEROSTAR ENSENACHOS,Hotel
IBEROSTAR TRINIDAD,Hotel
IBEROSTAR LAGUNA AZUL,Hotel
IBEROSTAR MOJITO,Hotel
IBEROSTAR PARQUE CENTRAL,Hotel
IBEROSTAR PLAYA ALAMEDA,Hotel
IBEROSTAR TAINOS,Hotel
IBEROSTAR VARADERO,Hotel
INGLATERRA,Hotel
INTERNACIONAL VARADERO,Hotel
ISLA DE CUBA,Hotel
ISLA DEL SUR,Hotel
JAGUA,Hotel
KAWAMA HOTEL & VILLAS,Hotel
KOHLY,Hotel
KURTHOTEL ESCAMBRAY,Hotel
LA BELEN,Hotel
LA ERMITA,Hotel
LA GRAN PIEDRA,Hotel
LA GUABINA,Hotel
LA HABANERA,Hotel
LA LUPE,Hotel
LA PRADERA (INTERNATIONAL HEALTH CENTRE),Hotel
LA RONDA,Hotel
LA RUSA,Hotel
LA TORTUGA,Hotel
LA UNION,Hotel
LAS AMERICAS,Hotel
LAS CUEVAS,Hotel
BE LIVE LAS MORLAS,Hotel
LAS TUNAS,Hotel
LAS YAGRUMAS,Hotel
LIBERTAD,Hotel
LIDO,Hotel
LINCOLN,Hotel
LOS CANEYES,Hotel
LOS DELFINES,Hotel
LOS FRAILES,Hotel
LOS HELECHOS,Hotel
LOS JAZMINES,Hotel
LOS LAURELES,Hotel
MAR DEL SUR,Hotel
MARIA LA GORDA (CIB),Hotel
MARINA CAYO LARGO,Hotel
MARIPOSA,Hotel
MARQUES DE PRADO AMENO,Hotel
MARTI,Hotel
MASCOTTE,Hotel
MELIA BUENAVISTA,Hotel
MELIA CAYO COCO,Hotel
MELIA CAYO GUILLERMO,Hotel
MELIA CAYO SANTA MARIA,Hotel
MELIA COHIBA,Hotel
MELIA HABANA,Hotel
MELIA LAS AMERICAS,Hotel
MELIA LAS ANTILLAS,Hotel
MELIA LAS DUNAS,Hotel
MELIA MARINA VARADERO,Hotel
MELIA PENINSULA VARADERO,Hotel
MELIA SANTIAGO DE CUBA,Hotel
MELIA VARADERO,Hotel
MEMORIES AZUL,Hotel
MEMORIES CARIBE,Hotel
MEMORIES FLAMENCO,Hotel
MEMORIES PARAISO,Hotel
MEMORIES VARADERO,Hotel
MERCURE CUATRO PALMAS,Hotel
MERCURE PLAYA DE ORO,Hotel
MERCURE SEVILLA,Hotel
MESON DE LA FLOTA,Hotel
MESON DEL REGIDOR,Hotel
MIRADOR DE MAYABE,Hotel
MIRADOR DE SAN DIEGO,Hotel
MOKA,Hotel
MORON,Hotel
NEPTUNO-TRITON,Hotel
NIQUERO,Hotel
OASIS,Hotel
OCCIDENTAL MIRAMAR,Hotel
OCCIDENTAL MONTEHABANA,Hotel
OCEAN VARADERO EL PATRIARCA,Hotel
ORDO,Hotel
PALACIO AZUL,Hotel
PALACIO MARQUES DE SAN FELIPE,Hotel
PALACIO OFARRIL,Hotel
PALACIO SAN MIGUEL,Hotel
PALCO,Hotel
PALMA REAL,Hotel
PANAMERICANO,Hotel
PARADISUS PRINCESA DEL MAR,Hotel
PARADISUS RIO DE ORO,Hotel
PARADISUS VARADERO,Hotel
PARK VIEW,Hotel
PASACABALLO,Hotel
PASEO HABANA,Hotel
PERLA DEL MAR,Hotel
PERNIK,Hotel
PESTANA CAYO COCO,Hotel
PINAR DEL RIO,Hotel
PLAYA BLANCA,Hotel
PLAYA CALETA,Hotel
PLAYA CAYO SANTA MARIA,Hotel
PLAYA COCO,Hotel
PLAYA COSTA VERDE,Hotel
PLAYA GIRON,Hotel
PLAYA LARGA,Hotel
PLAYA PESQUERO,Hotel
PLAZA,Hotel
HOSTAL PLAZA,Hotel
PLAZA CAMAGUEY,Hotel
PLAZA BARACOA,Hotel
PORTO SANTO,Hotel
PUERTO PRINCIPE,Hotel
PULLMAN,Hotel
PUNTA BLANCA,Hotel
PUNTA LA CUEVA,Hotel
PUNTARENA,Hotel
QUINTA AVENIDA HABANA,Hotel
RANCHO CLUB,Hotel
RANCHO EL TESORO,Hotel
RANCHO HATUEY,Hotel
RANCHO LUNA,Hotel
RANCHO SAN VICENTE,Hotel
RAQUEL,Hotel
RIO MIEL,Hotel
RIU PLAYA TURQUESA,Hotel
RIU VARADERO,Hotel
ROC ARENAS DORADAS,Hotel
ROC BARLOVENTO,Hotel
ROC PRESIDENTE,Hotel
ROYAL HICACOS,Hotel
ROYALTON,Hotel
ROYALTON CAYO SANTA MARIA,Hotel
SAINT JOHN'S,Hotel
SAN ALEJANDRO,Hotel
SAN BASILIO,Hotel
SAN JUAN,Hotel
SANTA CLARA LIBRE,Hotel
SANTA ISABEL,Hotel
SANTIAGO HABANA,Hotel
SARATOGA,Hotel
SIERRA MAESTRA,Hotel
SOL CAYO COCO,Hotel
SOL CAYO GUILLERMO,Hotel
SOL CAYO LARGO,Hotel
SOL CAYO SANTA MARIA,Hotel
SOL PALMERAS,Hotel
SOL PELICANO,Hotel
SOL RIO DE LUNA Y MARES,Hotel
SOL SIRENAS - CORAL,Hotel
SOTAVENTO,Hotel
SUNBEACH,Hotel
TARARACO,Hotel
TEJADILLO,Hotel
TELEGRAFO,Hotel
TERRAL,Hotel
TROPICOCO,Hotel
TRYP CAYO COCO,Hotel
TRYP HABANA LIBRE,Hotel
TULIPAN,Hotel
BE LIVE TURQUESA,Hotel
TUXPAN,Hotel
VARAZUL,Hotel
VEDADO,Hotel
VELASCO,Hotel
VERSALLES,Hotel
VICTORIA,Hotel
VILLA AGUAS CLARAS,Hotel
VILLA BACURANAO,Hotel
VILLA BAYAMO,Hotel
VILLA CABURNI,Hotel
VILLA CAYO SAETIA,Hotel
VILLA COJIMAR,Hotel
VILLA CORAL,Hotel
VILLA CUBA,Hotel
VILLA EL SALTON,Hotel
VILLA EL YAREY,Hotel
VILLA GAVIOTA CABO SAN ANTONIO,Hotel
VILLA GAVIOTA CAYO COCO,Hotel
VILLA GAVIOTA SANTIAGO DE CUBA,Hotel
VILLA GUAJIMICO,Hotel
VILLA GUAMA,Hotel
VILLA ISLA DE LA JUVENTUD,Hotel
VILLA LA GRANJITA,Hotel
VILLA LA MAR,Hotel
VILLA LAGUNA GRANDE,Hotel
VILLA LAS BRUJAS,Hotel
VILLA LINDAMAR,Hotel
VILLA LOS PINOS,Hotel
VILLA MAGUANA,Hotel
VILLA MARINERA,Hotel
VILLA MEGANO,Hotel
VILLA PINARES DE MAYARI,Hotel
VILLA SAN JOSE DEL LAGO,Hotel
VILLA SANTO DOMINGO,Hotel
VILLA SOLEDAD,Hotel
VILLA SOROA,Hotel
VILLA TROPICO,Hotel
VILLA YAGUANABO,Hotel
VILLAS MIRADOR DEL MAR,Hotel
VILLAS TARARA,Hotel
VILLA TORTUGA,Hotel
VUELTABAJO,Hotel
XANADU MANSION,Hotel
ZAZA,Hotel
